name,address,lat,lng,kreis,group,size,geometry,index_right,objid,objectid,district,qnr,kname,knr
Coop Supermarkt Zürich Sihlcity,"Kalanderpl. 1, 8045 Zürich, Schweiz",47.3576232,8.5231751,Kreis 3,competitors,1.0,POINT (8.5231751 47.3576232),0.0,1,1.0,Alt-Wiedikon,31.0,Kreis 3,3.0
Stadtammannamt und Betreibungsamt Zürich 3,"Sihlfeldstrasse 10, 8003 Zürich, Schweiz",47.3729588,8.5175187,Kreis 3,competitors,1.0,POINT (8.5175187 47.3729588),17.0,24,17.0,Sihlfeld,34.0,Kreis 3,3.0
VOI Zürich - In der Ey,"Letzigraben 239, 8047 Zürich, Schweiz",47.37051,8.492829,Kreis 3,migros_group,1.0,POINT (8.492829 47.37051),16.0,23,16.0,Albisrieden,91.0,Kreis 9,9.0
Migros-Supermarkt - Zürich - Leimbach Sihlbogen,"Leimbachstrasse 23, 8041 Zürich, Schweiz",47.3360383,8.518926,Kreis 3,migros_group,1.0,POINT (8.518926 47.3360383),7.0,15,7.0,Leimbach,23.0,Kreis 2,2.0
Swiss Star Zurich Sihlfeld - contactless self check-in,"Dubsstrasse 30, 8003 Zürich, Schweiz",47.3675614,8.5217178,Kreis 3,competitors,1.0,POINT (8.5217178 47.3675614),0.0,1,1.0,Alt-Wiedikon,31.0,Kreis 3,3.0
Spartech-Zagalski,"Schimmelstrasse 3, 8003 Zürich, Schweiz",47.3696316,8.5252573,Kreis 3,competitors,1.0,POINT (8.5252573 47.3696316),17.0,24,17.0,Sihlfeld,34.0,Kreis 3,3.0
Migros Take Away,"Etzelstrasse 3, 8038 Zürich, Schweiz",47.3446683,8.5299635,Kreis 2,migros_group,1.0,POINT (8.5299635 47.3446683),8.0,16,8.0,Wollishofen,21.0,Kreis 2,2.0
VOI Zürich - Paradies,"Paradiesstrasse 3, 8038 Zürich, Schweiz",47.3347551,8.5294889,Kreis 2,migros_group,1.0,POINT (8.5294889 47.3347551),8.0,16,8.0,Wollishofen,21.0,Kreis 2,2.0
VOI Zürich - Leimbach,"Ankenweid 10, 8041 Zürich, Schweiz",47.3298113,8.5153465,Kreis 2,migros_group,1.0,POINT (8.5153465 47.3298113),7.0,15,7.0,Leimbach,23.0,Kreis 2,2.0
Coop Supermarkt Zürich Leimbach,"Leimbachstrasse 200, 8041 Zürich, Schweiz",47.3262298,8.5143126,Kreis 2,competitors,1.0,POINT (8.5143126 47.3262298),7.0,15,7.0,Leimbach,23.0,Kreis 2,2.0
Coop Pronto Shop Zürich am Bahnhof Enge,"Tessinerpl. 3, 8002 Zürich, Schweiz",47.3644142,8.5322192,Kreis 2,competitors,0.3,POINT (8.5322192 47.3644142),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Rentenwiese,"General-Guisan-Quai 37, 8002 Zürich, Schweiz",47.363149,8.5362041,Kreis 2,competitors,1.0,POINT (8.5362041 47.363149),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Hürlimann Areal - Zürich,"8002 Zürich, Schweiz",47.364863,8.5250581,Kreis 2,competitors,1.0,POINT (8.5250581 47.364863),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Hürlimannbad & Spa Zürich,"Brandschenkestrasse 150, 8002 Zürich, Schweiz",47.3649417,8.525115,Kreis 2,competitors,1.0,POINT (8.525115 47.3649417),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Seebad Enge,"Mythenquai 9, 8002 Zürich, Schweiz",47.361634,8.5367532,Kreis 2,competitors,1.0,POINT (8.5367532 47.361634),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Labo Spa,"Talacker 41, 8001 Zürich, Schweiz",47.371893,8.534785,Kreis 2,competitors,1.0,POINT (8.534785 47.371893),15.0,25,18.0,City,14.0,Kreis 1,1.0
Wanna Wellness,"Grütlistrasse 36, 8002 Zürich, Schweiz",47.362273,8.5308982,Kreis 2,competitors,1.0,POINT (8.5308982 47.362273),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Nagare Spa,"Seefeldstrasse 7A, 8002 Zürich, Schweiz",47.3663713,8.5350594,Kreis 2,competitors,1.0,POINT (8.5350594 47.3663713),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Splash of Beauty,"Freigutstrasse 10, 8002 Zürich, Schweiz",47.3672562,8.5325685,Kreis 2,competitors,1.0,POINT (8.5325685 47.3672562),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
"Hammam & Spa, Stadtbad Zürich","Stauffacherstrasse 60, 8004 Zürich, Schweiz",47.3754248,8.5271998,Kreis 2,competitors,1.0,POINT (8.5271998 47.3754248),2.0,11,3.0,Langstrasse,42.0,Kreis 4,4.0
Soi Siam - Wellness,"Tödistrasse 40, 8002 Zürich, Schweiz",47.3671322,8.5344507,Kreis 2,competitors,1.0,POINT (8.5344507 47.3671322),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Sauna am See,"Mythenquai 9, 8002 Zürich, Schweiz",47.3616595,8.5366731,Kreis 2,competitors,1.0,POINT (8.5366731 47.3616595),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
QueenBee Beauty Spa Nguyen,"Bederstrasse 98, 8002 Zürich, Schweiz",47.3618123,8.5259882,Kreis 2,competitors,1.0,POINT (8.5259882 47.3618123),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Alexandra Sommerauer - Balance & Flow @ Origin-Massage,"Seestrasse 11, 8002 Zürich, Schweiz",47.3650998,8.5318979,Kreis 2,competitors,1.0,POINT (8.5318979 47.3650998),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Medical Massage & SPA Viktor,"Brandschenkestrasse 82, 8002 Zürich, Schweiz",47.3662359,8.5262188,Kreis 2,competitors,1.0,POINT (8.5262188 47.3662359),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Swiss Thai Spa Krankenkasse Anerkannt Sihlcity,"Giesshübelstrasse 64, 8045 Zürich, Schweiz",47.3583452,8.5195049,Kreis 2,competitors,1.0,POINT (8.5195049 47.3583452),0.0,1,1.0,Alt-Wiedikon,31.0,Kreis 3,3.0
Renate Stangl Massagen,"Gotthardstrasse 56, 8002 Zürich, Schweiz",47.3650052,8.5329948,Kreis 2,competitors,1.0,POINT (8.5329948 47.3650052),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Recovery Place,"Bleicherweg 33, 8002 Zürich, Schweiz",47.3665262,8.534053,Kreis 2,competitors,1.0,POINT (8.534053 47.3665262),4.0,13,5.0,Enge,24.0,Kreis 2,2.0
Migros-Supermarkt - Zürich - Affoltern,"Jonas-Furrer-Strasse 21, 8046 Zürich, Schweiz",47.4204771,8.5081698,Kreis 11,migros_group,1.0,POINT (8.5081698 47.4204771),18.0,26,19.0,Affoltern,111.0,Kreis 11,11.0
Coop Supermarkt Zürich Wehntalerstrasse,"Wehntalerstrasse 549, 8046 Zürich, Schweiz",47.418887,8.5055923,Kreis 11,competitors,1.0,POINT (8.5055923 47.418887),18.0,26,19.0,Affoltern,111.0,Kreis 11,11.0
Coop Supermarkt Zürich Mühlackerstrasse,"Mühlackerstrasse 199, 8046 Zürich, Schweiz",47.4255113,8.4969846,Kreis 11,competitors,1.0,POINT (8.4969846 47.4255113),18.0,26,19.0,Affoltern,111.0,Kreis 11,11.0
Coop Pronto,"Wehntalerstrasse 347, 8046 Zürich, Schweiz",47.4132527,8.5211243,Kreis 11,competitors,0.3,POINT (8.5211243 47.4132527),18.0,26,19.0,Affoltern,111.0,Kreis 11,11.0
Coop Pronto Shop mit Tankstelle Zürich Wehntalerstrasse,"Wehntalerstrasse 351, 8046 Zürich, Schweiz",47.4133764,8.5206838,Kreis 11,competitors,0.3,POINT (8.5206838 47.4133764),18.0,26,19.0,Affoltern,111.0,Kreis 11,11.0
Coop Supermarkt Zürich Eleven,"Sophie-Taeuber-Strasse 4, 8050 Zürich, Schweiz",47.4134803,8.5410152,Kreis 11,competitors,1.0,POINT (8.5410152 47.4134803),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
Coop Supermarkt City Zürich Oerlikon Food,"Wallisellenstrasse 1, 8050 Zürich, Schweiz",47.4103731,8.5466843,Kreis 11,competitors,1.0,POINT (8.5466843 47.4103731),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
Coop Pronto Shop Zürich-Oerlikon Bahnhof,"Hofwiesenstrasse 369, 8050 Zürich, Schweiz",47.4112509,8.5432213,Kreis 11,competitors,0.3,POINT (8.5432213 47.4112509),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
Migros Bank Niederlassung - Zürich - Oerlikon,"Nansenstrasse 21, 8050 Zürich, Schweiz",47.4103037,8.5441406,Kreis 11,migros_group,1.0,POINT (8.5441406 47.4103037),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
Migros Take Away,"Hofwiesenstrasse 350/354, 8050 Zürich, Schweiz",47.4106717,8.5429443,Kreis 11,migros_group,1.0,POINT (8.5429443 47.4106717),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
Migrol Service mit Shell-Treibstoff,"Thurgauerstrasse 100, 8052 Zürich, Schweiz",47.4197863,8.5563332,Kreis 11,migros_group,1.0,POINT (8.5563332 47.4197863),32.0,7,32.0,Seebach,119.0,Kreis 11,11.0
Migrol Tankstelle,"Wehntalerstrasse 18, 8057 Zürich, Schweiz",47.3980907,8.5399395,Kreis 11,migros_group,1.0,POINT (8.5399395 47.3980907),23.0,30,24.0,Unterstrass,61.0,Kreis 6,6.0
